location,river,first_egg_day,clutch_no,clutch_size,no_hatchling,no_fledgling,outcome
Burichu,Punatsangchu,2/27/2016,1,3,3,2,Success
Berti,Bertichu,4/14/2016,1,3,2,2,Success
Burichu,Punatsangchu,3/4/2017,1,3,0,0,Fail
Berti,Bertichu,3/12/2017,1,3,0,0,Fail
Rilangthang,Punatsangchu,3/3/2018,1,NA,3,3,Success
Tsaidang ,Mangdichu,3/5/2018,1,NA,3,3,Success
Burichu,Punatsangchu,3/18/2018,2,3,0,0,Fail
Tsaidang ,Mangdichu,2/17/2019,1,3,1,0,Fail
Rilangthang,Punatsangchu,2/19/2019,1,4,2,2,Success
Gebachhu,Punatsangchu,3/2/2019,1,4,3,3,Success
Tsaidang ,Punatsangchu,2/13/2020,1,3,1,0,Fail
Balwani,Punatsangchu,3/9/2020,1,3,1,1,Success
Tsaidang ,Mangdichu,2/9/2021,1,2,2,2,Success
Rilangthang,Punatsangchu,2/26/2021,1,4,4,3,Success
Balwani,Punatsangchu,3/2/2021,1,2,2,2,Success
Tsaidang ,Mangdichu,2/12/2022,1,3,3,0,Fail
Balwani,Punatsangchu,2/28/2022,1,3,0,0,Fail
Rilangthang,Punatsangchu,3/1/2022,1,3,2,2,Success
Balwani,Punatsangchu,3/18/2022,2,3,2,0,Fail
Tsaidang ,Mangdichu,5/6/2022,2,3,0,0,Fail
Tsaidang ,Mangdichu,2/10/2023,1,3,2,0,Fail
Balwani ,Punatsangchu,3/8/2023,1,4,3,4,Success
Balwani,Dagachu,4/17/2023,2,3,0,0,Fail
Rilangthang,Punatsangchu,4/18/2023,1,3,0,0,Fail
Rangatar,Punatsangchu,6/13/2023,2,2,0,0,Fail
Tsaidang ,Mangdichu,2/24/2024,1,3,2,2,Success
Balwani ,Punatsangchu,3/15/2024,1,4,2,1,Success
Gebachhu,Punatsangchu,3/17/2024,1,3,3,1,Success
Rilangthang,Punatsangchu,5/13/2024,1,3,1,0,Fail
Tsaidang ,Mangdichu,2/19/2025,1,NA,2,2,Success
Gebachhu,Punatsangchu,2/26/2025,1,3,2,2,Success
Balwani,Punatsangchu,4/2/2025,1,3,0,0,Fail
Rilangthang,Punatsangchu,4/15/2025,1,3,0,0,Fail
